,ENSG00000204287,ENSG00000104894,ENSG00000081059,ENSG00000171345,ENSG00000265972,label
PDAC_073,271.2889852,233.3846669,31.00761,37.4629288,952.6839,1
PDAC_171,234.8194201,320.2348019,29.15201,18.94880485,955.8943,1
PDAC_017,275.4477275,222.986843,49.70865,13.98582466,957.7201,1
PDAC_152,251.8779967,299.9395226,58.44519,0.148338043,961.2305,1
PDAC_080,223.6813451,276.5229212,38.45309,2.136282509,962.0811,1
PDAC_057,268.9718639,295.3029324,58.32332,0.526621368,968.8517,1
PDAC_084,145.3423371,80.65701125,40.92744,16.5706236,969.6809,1
PDAC_127,341.9652071,338.8545472,51.2222,2.384839225,977.8878,1
PDAC_063,243.5438359,221.2638004,49.09989,0.349216857,978.5755,1
PDAC_070,302.3446362,414.4437548,136.2048,20.71824891,978.957,1
PDAC_015,293.4983503,247.3435786,62.30633,0.0,985.245,1
PDAC_088,235.2723638,259.6271914,86.06949,150.3851491,995.2376,1
PDAC_062,168.4716548,165.3264205,88.79238,0.0,1003.652,1
PDAC_025,126.0299001,241.9786192,23.7044,2.633822078,1015.687,1
PDAC_014,159.3560351,152.6044446,115.4245,0.092487542,1019.398,1
PDAC_118,236.7020569,266.1998816,100.7243,0.0,1031.704,1
PDAC_122,242.3984403,254.9971119,49.48758,15.97511551,1033.746,1
PDAC_108,236.580379,309.3445375,72.76416,13.71592764,1047.137,1
PDAC_188,294.7574359,271.3125745,86.99278,0.10282834,1047.409,1
PDAC_131,203.3730682,179.2267674,34.68905,5.101331141,1052.235,1
PDAC_141,429.5741882,259.7305873,48.71019,0.0,1055.188,1
PDAC_250,269.1305927,288.2295206,83.63482,0.924141676,1057.629,1
PDAC_097,330.1296812,265.5886302,130.9933,37.19563988,1058.532,1
PDAC_039,286.7509253,301.4824543,97.29661,0.342593698,1073.175,1
PDAC_053,371.5053401,277.6829909,65.10804,4.117944153,1079.235,1
PDAC_060,389.4538464,350.4252138,113.658,0.0,1086.974,1
PDAC_139,227.3782436,397.0952962,61.77985,0.0,1087.751,1
PDAC_032,314.8167576,525.7449119,146.8898,12.97449104,1093.286,1
PDAC_028,604.9690037,412.2846279,94.12232,6.548604939,1094.116,1
PDAC_093,316.8292646,177.3634473,36.94543,216.5941597,1095.413,1
PDAC_096,257.6637818,279.1431908,0.08912618,27.00523206,1109.443,1
PDAC_156,283.4632824,364.1461499,79.29396,0.378792805,1113.777,1
PDAC_004,191.7435483,284.2597075,23.55106,0.041173191,1119.87,1
PDAC_124,153.7342017,207.9893072,41.39261,1313.274589,1126.905,1
PDAC_047,288.056845,393.9617679,52.23279,0.037877297,1140.107,1
PDAC_040,259.1757697,536.8117004,127.9375,2.445054431,1140.862,1
PDAC_058,82.08513349,178.835601,128.9836,160.3511696,1141.859,1
PDAC_033,308.9761421,308.2914304,105.788,10.78420884,1145.523,1
PDAC_069,429.1772669,232.190655,41.73776,138.8658096,1150.031,1
PDAC_148,173.5071381,235.5381875,66.15147,0.0,1156.789,1
PDAC_106,230.1894002,305.3089212,44.4437,0.241541868,1158.676,1
PDAC_076,259.6076826,297.1798492,55.70873,51.76165497,1159.941,1
PDAC_100,284.8422634,314.2897245,127.147,1.100839665,1161.936,1
PDAC_107,218.9797431,253.3019576,37.33294,1.003573525,1172.174,1
PDAC_074,344.3299486,243.6381621,21.7766,101.2911424,1172.74,1
PDAC_129,310.8625224,357.9715389,94.31301,20.13530545,1177.535,1
PDAC_165,367.2215318,304.3484315,79.92343,2.27337764,1178.817,1
PDAC_056,285.2027664,296.6284551,175.3404,14.50183558,1183.877,1
PDAC_160,199.501967,278.1957466,78.93443,2.7073548,1191.296,1
PDAC_153,225.9826561,269.8125535,110.3069,1.171400377,1194.536,1
PDAC_027,294.6923373,298.0086865,87.07345,0.0,1199.593,1
PDAC_078,304.5602168,234.5103214,44.43464,24.67429151,1202.976,1
PDAC_003,163.3729276,213.544894,132.0432,0.295563867,1216.098,1
PDAC_068,35.20622208,251.2787439,37.67418,1.863562542,1218.014,1
PDAC_021,366.1262093,372.5408194,115.1889,13.26782609,1218.831,1
PDAC_094,361.8177321,416.5051561,95.61765,1.945807221,1234.802,1
PDAC_204,101.3180944,178.6970687,172.7324,0.0,1241.691,1
PDAC_105,245.3047529,388.9589715,27.5978,0.161863908,1251.046,1
PDAC_179,159.1409362,226.5387884,38.43984,16.01659986,1255.573,1
PDAC_135,325.7586321,317.5753234,113.6221,0.0,1272.19,1
PDAC_102,239.0793439,316.4356533,119.1771,33.11816998,1273.478,1
PDAC_050,328.594784,454.1474179,34.82124,8.827919571,1284.462,1
PDAC_111,234.7425766,306.734272,72.58749,73.87837435,1295.155,1
PDAC_104,290.8747288,419.7676311,79.25952,6.540833849,1310.86,1
PDAC_036,308.2695534,307.9822565,82.4542,3.160265692,1338.516,1
PDAC_051,458.8801308,227.7251114,84.50046,0.0,1345.252,1
PDAC_144,222.2659301,219.4236548,32.97039,18.75901712,1346.102,1
PDAC_123,284.4971596,443.2143006,21.8844,54.82151948,1348.211,1
PDAC_089,360.6122491,308.7850357,47.39561,0.300447614,1356.221,1
PDAC_075,423.1860442,278.8291503,44.63532,38.30297042,1357.954,1
